,m_construction_number,m_wetbrk_test_number,m_wetbrk_test_type,m_wetbrk_test_name,m_wetbrk_test_step_number,m_wetbrk_test_session_number,m_wet_brake_test_start_date,m_wet_brake_test_end_date,m_wet_brake_test_location,m_wet_brake_control_reference_flag,c_wet_brake_vehicle_manufacturer,c_wet_brake_driver_name,c_wet_brake_ambient_temp_0c,c_wet_brake_surface_temp_0c,c_wet_brake_humidity_level_pc,c_wet_brake_surface_type,c_wet_brake_surface_condition,c_wet_brake_surface_status,c_wet_brake_weather_condition,c_wet_brake_tire_inflation_cold_kpa,c_wet_brake_tire_inflation_hot_kpa,c_wet_brake_vehicle_load_kg,c_wet_brake_rim_description,c_wet_brake_wind_speed_range,c_wet_brake_vehicle_speed_max_kmh,c_wet_brake_vehicle_speed_min_kmh,c_wet_brake_test_procedure,c_wet_brake_tire_class_ec_code,r_wetbrk_avg_braking_distance_m,r_wet_brake_braking_evolution_pc,r_wet_brake_standard_deviation_braking_distance_m,r_wet_brake_avg_deceleration_g,r_wet_brake_variation_coefficient_braking_pc,c_wet_brake_wind_speed_min,c_wet_brake_wind_speed_max
1135,HG318604,2020R00201-00,BRK,ACCBRK,5,1,2/19/2020,2/19/2020,WITTLICH SKID PAD,,VW Atlas 2.0 TSI,A. Koster,7.2,8.5,0.507,LO MU ASPH,,WET,partly cloudy,210.0,,Driver,7x19 ET43,4 to 6 km/h,80,1,ABS,,31.05428571,,0.381831426,-0.810648271,0.012295611,4,6
1136,HG318604,2020R00201-00,BRK,ACCBRK,5,2,2/20/2020,2/20/2020,WITTLICH SKID PAD,,VW Atlas 2.0 TSI,K. Erdogan,8.0,8.5,0.792,HI MU ASPH,WET,WET,CLOUDY,210.0,,DRIVER,7x19 ET43,13 km/h,80,1,ABS,,31.44714286,,0.352406691,-0.800521152,0.011206318,13,13
1137,HG318604,2020R00201-00,BRK,ACCBRK,5,2,2/20/2020,2/20/2020,WITTLICH SKID PAD,,VW Atlas 2.0 TSI,K. Erdogan,8.0,8.5,0.792,HI MU ASPH,WET,WET,CLOUDY,210.0,,EMPTY,7x19 ET43,13 km/h,80,1,ABS,,31.44714286,,0.352406691,-0.800521152,0.011206318,13,13
1138,HG321700,2020R00105-00,BRK,ACCBRK,3,1,2/24/2020,2/24/2020,WITTLICH SKID PAD,,VW Atlas 2.0 T,K. Erdogan,8.3,9.5,0.965,LO MU ASPH,WET,WET,CLOUDY/RAINY,210.0,,DRIVER,VARIOUS,11 km/h,80,1,ABS,,38.242,,0.33446973,-0.658284165,0.008746136,11,11
1139,HG321700,2020R00105-00,BRK,ACCBRK,3,1,2/24/2020,2/24/2020,WITTLICH SKID PAD,,VW Atlas 2.0 T,K. Erdogan,8.3,9.5,0.965,LO MU ASPH,WET,WET,CLOUDY/RAINY,210.0,,EMPTY,VARIOUS,11 km/h,80,1,ABS,,38.242,,0.33446973,-0.658284165,0.008746136,11,11
1140,HG322001,2020R01149-00,BRK,ACCBRK,5,1,3/19/2020,3/19/2020,GPG*M SKID PAD,C,VW PASSAT 2.0 TDI VARIANT,Dumond A,12.6,12.6,0.867,HI MU ASPH,,WET,Sunny,220.0,,VEHI,VEHI,min: 2.8 max: 8.0,80,1,ABS,,22.02571429,,0.287335874,-1.142941505,0.013045474,2.8,8.0
1141,HG322020,2020R01906-00,BRK,ACCBRK,2,1,6/4/2020,6/4/2020,IDIADA CHINA,,SVW PASSAT 330TSI,Lu Yang,32.0,,,LO MU ASPH,,WET,sunny,230.0,,empty,7.0J x 17 ET40   ,low,80,1,ABS,,26.26142857,,0.144040338,-0.958596101,0.005484863,0.0,0.0
1142,HG322020,2020R01906-00,BRK,ACCBRK,2,1,6/4/2020,6/4/2020,IDIADA CHINA,,SVW PASSAT 330TSI,Lu Yang,32.0,,,LO MU ASPH,,WET,sunny,230.0,254.0,empty,7.0J x 17 ET40   ,low,80,1,ABS,,26.26142857,,0.144040338,-0.958596101,0.005484863,0.0,0.0
1143,HG328701,2020R01185-00,BRK,ACCBRK,2,1,5/6/2020,5/6/2020,GPG*M SKID PAD,,RENAULT CLIO 1.3 TCE 130,Macchieraldo S,21.8,21.1,0.6,LO MU ASPH,,WET,Sunny,230.0,,Empty,7J17ET44,min: 7.3 max: 12.1,80,1,ABS,,38.07285714,,0.105942482,-0.661208665,0.002782625,7.3,12.1
1144,HG328800,2020R01185-00,BRK,ACCBRK,1,1,5/6/2020,5/6/2020,GPG*M SKID PAD,R,RENAULT CLIO 1.3 TCE 130,Macchieraldo S,21.0,20.9,0.55,LO MU ASPH,,WET,Sunny,230.0,,Empty,7J17ET44,min: 7.3 max: 12.1,80,1,ABS,,38.346,,0.160249805,-0.656498801,0.004179049,7.3,12.1
1145,HG328800,2020R01185-00,BRK,ACCBRK,4,1,5/6/2020,5/6/2020,GPG*M SKID PAD,R,RENAULT CLIO 1.3 TCE 130,Macchieraldo S,23.8,22.8,0.435,LO MU ASPH,,WET,Sunny,230.0,,Empty,7J17ET44,min: 7.3 max: 12.1,80,1,ABS,,39.164,-0.021332102,0.349471029,-0.64278682,0.008923272,7.3,12.1
1146,HG328800,2020R01185-00,BRK,ACCBRK,7,1,5/6/2020,5/6/2020,GPG*M SKID PAD,R,RENAULT CLIO 1.3 TCE 130,Macchieraldo S,25.8,28.5,0.35,LO MU ASPH,,WET,Sunny,230.0,,Empty,7J17ET44,min: 7.3 max: 12.1,80,1,ABS,,40.338,-0.029976502,0.257138095,-0.624079107,0.006374587,7.3,12.1
1147,HG330100,2020R00105-00,BRK,ACCBRK,2,1,2/24/2020,2/24/2020,WITTLICH SKID PAD,,VW Atlas 2.0 T,K. Erdogan,8.1,9.5,0.967,LO MU ASPH,WET,WET,CLOUDY/RAINY,210.0,,EMPTY,VARIOUS,11 km/h,80,1,ABS,,35.44375,,0.509030942,-0.710255067,0.014361656,11,11
1148,HG330100,2020R00105-00,BRK,ACCBRK,2,1,2/24/2020,2/24/2020,WITTLICH SKID PAD,,VW Atlas 2.0 T,K. Erdogan,8.1,9.5,0.967,LO MU ASPH,WET,WET,CLOUDY/RAINY,210.0,,DRIVER,VARIOUS,11 km/h,80,1,ABS,,35.44375,,0.509030942,-0.710255067,0.014361656,11,11
1149,HG343900,2020R00664-00,BRK,ACCBRK,1,1,2/19/2020,2/19/2020,GPG*M SKID PAD,C,HONDA HR-V (Rented),B. Selles,14.9,15.2,0.524,LO MU ASPH,,WET,Sunny,220.0,,DV,7J17ET44,min: 23.1 max: 27.7,80,1,ABS,,41.412,,0.281016014,-0.60789392,0.00678586,23.1,27.7
1150,HG343900,2020R00664-00,BRK,ACCBRK,1,1,2/19/2020,2/19/2020,GPG*M SKID PAD,C,HONDA HR-V (Rented),B. Selles,14.9,15.2,0.524,LO MU ASPH,,WET,Sunny,210.0,,VEHI,7J17ET44,min: 23.1 max: 27.7,80,1,ABS,,41.412,,0.281016014,-0.60789392,0.00678586,23.1,27.7
1151,HG343900,2020R00664-00,BRK,ACCBRK,1,2,2/19/2020,2/19/2020,GPG*M SKID PAD,C,HONDA HR-V (Rented),B. Selles,15.0,16.5,0.536,HI MU ASPH,,WET,Sunny,220.0,,DV,7J17ET44,min: 19.9 max: 26.7,100,1,ABS,,35.234,,0.122188379,-1.116442893,0.003467911,19.9,26.7
1152,HG343900,2020R00664-00,BRK,ACCBRK,1,2,2/19/2020,2/19/2020,GPG*M SKID PAD,C,HONDA HR-V (Rented),B. Selles,15.0,16.5,0.536,HI MU ASPH,,WET,Sunny,210.0,,VEHI,7J17ET44,min: 19.9 max: 26.7,100,1,ABS,,35.234,,0.122188379,-1.116442893,0.003467911,19.9,26.7
1153,HG343900,2020R00664-00,BRK,ACCBRK,3,1,2/19/2020,2/19/2020,GPG*M SKID PAD,C,HONDA HR-V (Rented),B. Selles,15.0,14.6,0.524,LO MU ASPH,,WET,Sunny,220.0,,DV,7J17ET44,min: 23.1 max: 27.7,80,1,ABS,,41.93428571,-0.012611936,0.552324094,-0.600322686,0.013171182,23.1,27.7
1154,HG343900,2020R00664-00,BRK,ACCBRK,3,1,2/19/2020,2/19/2020,GPG*M SKID PAD,C,HONDA HR-V (Rented),B. Selles,15.0,14.6,0.524,LO MU ASPH,,WET,Sunny,210.0,,VEHI,7J17ET44,min: 23.1 max: 27.7,80,1,ABS,,41.93428571,-0.012611936,0.552324094,-0.600322686,0.013171182,23.1,27.7
1155,HG343900,2020R00664-00,BRK,ACCBRK,3,2,2/19/2020,2/19/2020,GPG*M SKID PAD,C,HONDA HR-V (Rented),B. Selles,12.9,15.1,0.642,HI MU ASPH,,WET,Sunny,210.0,,VEHI,7J17ET44,min: 19.9 max: 26.7,100,1,ABS,,35.19857143,0.001005589,0.258549065,-1.117566631,0.007345442,19.9,26.7
1156,HG343900,2020R00664-00,BRK,ACCBRK,3,2,2/19/2020,2/19/2020,GPG*M SKID PAD,C,HONDA HR-V (Rented),B. Selles,12.9,15.1,0.642,HI MU ASPH,,WET,Sunny,220.0,,DV,7J17ET44,min: 19.9 max: 26.7,100,1,ABS,,35.19857143,0.001005589,0.258549065,-1.117566631,0.007345442,19.9,26.7
1157,HG358600,2019R07281-00,BRK,ACCBRK,5,1,1/16/2020,1/16/2020,GPG*M SKID PAD,,Jeep Compass D.,Segues R,11.2,11.6,0.926,HI MU ASPH,,WET,Cloudy,220.0,,Vehi,VARIOUS,min: 8.8 max: 14.0,80,1,ABS,,24.80285714,,0.297641523,-1.014967868,0.012000292,8.8,14.0
1158,HG358600,2019R07281-00,BRK,ACCBRK,5,1,1/16/2020,1/16/2020,GPG*M SKID PAD,,Jeep Compass D.,Segues R,11.2,11.6,0.926,HI MU ASPH,,WET,Cloudy,240.0,,Driver,VARIOUS,min: 8.8 max: 14.0,80,1,ABS,,24.80285714,,0.297641523,-1.014967868,0.012000292,8.8,14.0
1159,HG360101,2020R00961-00,BRK,ACCBRK,1,2,3/9/2020,3/9/2020,GIC*L SKID PAD,R,SKODA SCALA 1.5 TSI,Delvaux K,7.2,7.5,0.828,HI MU ASPH,,WET,Cloudy/Rainy/Sunny,250.0,,Empty,6Jx16 ET35,min: 4.4 max: 13.0,80,1,ABS,,24.74,,0.205831646,-1.017546606,0.008319792,4.4,13.0
1160,HG360101,2020R00961-00,BRK,ACCBRK,3,2,3/9/2020,3/9/2020,GIC*L SKID PAD,R,SKODA SCALA 1.5 TSI,Delvaux K,5.2,7.7,0.899,HI MU ASPH,,WET,Cloudy/Rainy/Sunny,250.0,,Empty,6Jx16 ET35,min: 4.4 max: 13.0,80,1,ABS,,25.35,-0.024656452,0.377049952,-0.993061264,0.014873765,4.4,13.0
1161,HG360101,2020R00961-00,BRK,ACCBRK,6,2,3/9/2020,3/9/2020,GIC*L SKID PAD,R,SKODA SCALA 1.5 TSI,Delvaux K,8.8,8.8,0.639,HI MU ASPH,,WET,Cloudy/Rainy/Sunny,250.0,,Empty,6Jx16 ET35,min: 4.4 max: 13.0,80,1,ABS,,25.52875,-0.007051246,0.288564798,-0.986107938,0.011303522,4.4,13.0
1162,HG360201,2020R00961-00,BRK,ACCBRK,2,2,3/9/2020,3/9/2020,GIC*L SKID PAD,,SKODA SCALA 1.5 TSI,Delvaux K,7.6,7.8,0.776,HI MU ASPH,,WET,Cloudy/Rainy/Sunny,250.0,,Empty,6Jx16 ET35,min: 4.4 max: 13.0,80,1,ABS,,25.447,,0.465666786,-0.989275869,0.018299477,4.4,13.0
1163,HG360301,2020R00961-00,BRK,ACCBRK,4,2,3/9/2020,3/9/2020,GIC*L SKID PAD,,SKODA SCALA 1.5 TSI,Delvaux K,7.7,8.3,0.773,HI MU ASPH,,WET,Cloudy/Rainy/Sunny,250.0,,Empty,6Jx16 ET35,min: 4.4 max: 13.0,80,1,ABS,,25.1875,,0.203592731,-0.99946811,0.008083086,4.4,13.0
1164,HG360401,2020R00961-00,BRK,ACCBRK,5,2,3/9/2020,3/9/2020,GIC*L SKID PAD,,SKODA SCALA 1.5 TSI,Delvaux K,7.7,8.7,0.725,HI MU ASPH,,WET,Cloudy/Rainy/Sunny,250.0,,Empty,6Jx16 ET35,min: 4.4 max: 13.0,80,1,ABS,,25.71,,0.342454377,-0.979156088,0.01331989,4.4,13.0
1165,HG362600,2020R00651-00,BRK,ACCBRK,2,1,2/12/2020,2/12/2020,GPG*M SKID PAD,,Renault Captur Dci,Corentin,9.4,0.0,0.675,LO MU ASPH,,WET,Sunny,230.0,,Driver,7Jx18 H2 ET40,min: 4.4 max: 13.0,80,1,ABS,,40.71777778,,0.483057392,-0.618258275,0.01186355,4.4,13.0
1166,HG362600,2020R00651-00,BRK,ACCBRK,2,1,2/12/2020,2/12/2020,GPG*M SKID PAD,,Renault Captur Dci,Corentin,9.4,0.0,0.675,LO MU ASPH,,WET,Sunny,210.0,,Empty,7Jx18 H2 ET40,min: 4.4 max: 13.0,80,1,ABS,,40.71777778,,0.483057392,-0.618258275,0.01186355,4.4,13.0
1167,HG362600,2020R00651-00,BRK,ACCBRK,2,2,2/12/2020,2/12/2020,GPG*M SKID PAD,,Renault Captur Dci,Corentin,11.5,11.7,0.488,HI MU ASPH,,WET,Sunny,230.0,,Driver,7Jx18H2 ET40,min: 12.1 max: 14.7,80,1,ABS,,25.11571429,,0.217014373,-1.002324789,0.008640581,12.1,14.7
1168,HG362600,2020R00651-00,BRK,ACCBRK,2,2,2/12/2020,2/12/2020,GPG*M SKID PAD,,Renault Captur Dci,Corentin,11.5,11.7,0.488,HI MU ASPH,,WET,Sunny,210.0,,Empty,7Jx18H2 ET40,min: 12.1 max: 14.7,80,1,ABS,,25.11571429,,0.217014373,-1.002324789,0.008640581,12.1,14.7
1169,HG362600,2020R00651-00,BRK,ACCBRK,2,3,2/12/2020,2/12/2020,GPG*M SKID PAD,,Renault Captur Dci,Corentin,14.0,0.0,0.36,CONCRETE,,WET,Sunny,210.0,,Empty,7Jx18 H2 ET40,min: 10.1 max: 17.4,80,1,ABS,,30.90571429,,0.345294905,-0.814545259,0.011172526,10.1,17.4
1170,HG362600,2020R00651-00,BRK,ACCBRK,2,3,2/12/2020,2/12/2020,GPG*M SKID PAD,,Renault Captur Dci,Corentin,14.0,0.0,0.36,CONCRETE,,WET,Sunny,230.0,,Driver,7Jx18 H2 ET40,min: 10.1 max: 17.4,80,1,ABS,,30.90571429,,0.345294905,-0.814545259,0.011172526,10.1,17.4
1171,HG362700,2020R00651-00,BRK,ACCBRK,1,1,2/12/2020,2/12/2020,GPG*M SKID PAD,R,Renault Captur Dci,Corentin,8.4,0.0,0.748,LO MU ASPH,,WET,Sunny,210.0,,Empty,7Jx18 H2 ET40,min: 4.4 max: 13.0,80,1,ABS,,41.37285714,,0.292102396,-0.608469049,0.007060242,4.4,13.0
1172,HG362700,2020R00651-00,BRK,ACCBRK,1,1,2/12/2020,2/12/2020,GPG*M SKID PAD,R,Renault Captur Dci,Corentin,8.4,0.0,0.748,LO MU ASPH,,WET,Sunny,230.0,,Driver,7Jx18 H2 ET40,min: 4.4 max: 13.0,80,1,ABS,,41.37285714,,0.292102396,-0.608469049,0.007060242,4.4,13.0
1173,HG362700,2020R00651-00,BRK,ACCBRK,1,2,2/12/2020,2/12/2020,GPG*M SKID PAD,R,Renault Captur Dci,Corentin,11.2,10.7,0.511,HI MU ASPH,,WET,Sunny,210.0,,Empty,7Jx18H2 ET40,min: 12.1 max: 14.7,80,1,ABS,,24.961,,0.503972001,-1.00853744,0.020190377,12.1,14.7
1174,HG362700,2020R00651-00,BRK,ACCBRK,1,2,2/12/2020,2/12/2020,GPG*M SKID PAD,R,Renault Captur Dci,Corentin,11.2,10.7,0.511,HI MU ASPH,,WET,Sunny,230.0,,Driver,7Jx18H2 ET40,min: 12.1 max: 14.7,80,1,ABS,,24.961,,0.503972001,-1.00853744,0.020190377,12.1,14.7
1175,HG362700,2020R00651-00,BRK,ACCBRK,1,3,2/12/2020,2/12/2020,GPG*M SKID PAD,R,Renault Captur Dci,Corentin,13.8,0.0,0.374,CONCRETE,,WET,Sunny,210.0,,Empty,7Jx18 H2 ET40,min: 10.1 max: 17.4,80,1,ABS,,30.16428571,,0.420628781,-0.834566523,0.013944596,10.1,17.4
1176,HG362700,2020R00651-00,BRK,ACCBRK,1,3,2/12/2020,2/12/2020,GPG*M SKID PAD,R,Renault Captur Dci,Corentin,13.8,0.0,0.374,CONCRETE,,WET,Sunny,230.0,,Driver,7Jx18 H2 ET40,min: 10.1 max: 17.4,80,1,ABS,,30.16428571,,0.420628781,-0.834566523,0.013944596,10.1,17.4
1177,HG362700,2020R00651-00,BRK,ACCBRK,3,1,2/12/2020,2/12/2020,GPG*M SKID PAD,R,Renault Captur Dci,Corentin,10.1,0.0,0.6,LO MU ASPH,,WET,Sunny,210.0,,Empty,7Jx18 H2 ET40,min: 4.4 max: 13.0,80,1,ABS,,40.77571429,0.014433165,0.354770214,-0.617379817,0.008700527,4.4,13.0
1178,HG362700,2020R00651-00,BRK,ACCBRK,3,1,2/12/2020,2/12/2020,GPG*M SKID PAD,R,Renault Captur Dci,Corentin,10.1,0.0,0.6,LO MU ASPH,,WET,Sunny,230.0,,Driver,7Jx18 H2 ET40,min: 4.4 max: 13.0,80,1,ABS,,40.77571429,0.014433165,0.354770214,-0.617379817,0.008700527,4.4,13.0
1179,HG362700,2020R00651-00,BRK,ACCBRK,3,2,2/12/2020,2/12/2020,GPG*M SKID PAD,R,Renault Captur Dci,Corentin,12.6,13.1,0.419,HI MU ASPH,,WET,Sunny,210.0,,Empty,7Jx18H2 ET40,min: 12.1 max: 14.7,80,1,ABS,,24.57714286,0.015378299,0.343448894,-1.024289242,0.013974321,12.1,14.7
1180,HG362700,2020R00651-00,BRK,ACCBRK,3,2,2/12/2020,2/12/2020,GPG*M SKID PAD,R,Renault Captur Dci,Corentin,12.6,13.1,0.419,HI MU ASPH,,WET,Sunny,230.0,,Driver,7Jx18H2 ET40,min: 12.1 max: 14.7,80,1,ABS,,24.57714286,0.015378299,0.343448894,-1.024289242,0.013974321,12.1,14.7
1181,HG362700,2020R00651-00,BRK,ACCBRK,3,3,2/12/2020,2/12/2020,GPG*M SKID PAD,R,Renault Captur Dci,Corentin,14.1,0.0,0.379,CONCRETE,,WET,Sunny,210.0,,Empty,7Jx18 H2 ET40,min: 10.1 max: 17.4,80,1,ABS,,30.02857143,0.004499148,0.398096662,-0.83833835,0.013257263,10.1,17.4
1182,HG362700,2020R00651-00,BRK,ACCBRK,3,3,2/12/2020,2/12/2020,GPG*M SKID PAD,R,Renault Captur Dci,Corentin,14.1,0.0,0.379,CONCRETE,,WET,Sunny,230.0,,Driver,7Jx18 H2 ET40,min: 10.1 max: 17.4,80,1,ABS,,30.02857143,0.004499148,0.398096662,-0.83833835,0.013257263,10.1,17.4
1183,HG369400,2019R07036-01,BRK,ACCBRK,2,1,1/7/2020,1/7/2020,GPG*M SKID PAD,,PEUGEOT 3008 1.5 BLUE HDI130,Courdier fabrice,10.6,10.9,0.671,LO MU ASPH,WET,WET,SUNNY / CLOUDY,210.0,,EMPTY,VARIOUS,min: 16.0 max: 24.6,80,1,ABS,,41.26285714,,0.536802704,-0.610091127,0.013009344,16.0,24.6
1184,HG369400,2019R07036-01,BRK,ACCBRK,2,1,1/7/2020,1/7/2020,GPG*M SKID PAD,,PEUGEOT 3008 1.5 BLUE HDI130,Courdier fabrice,10.6,10.9,0.671,LO MU ASPH,WET,WET,SUNNY / CLOUDY,210.0,,D+1,VARIOUS,min: 16.0 max: 24.6,80,1,ABS,,41.26285714,,0.536802704,-0.610091127,0.013009344,16.0,24.6
1185,HG369500,2019R07036-01,BRK,ACCBRK,4,1,1/7/2020,1/7/2020,GPG*M SKID PAD,,PEUGEOT 3008 1.5 BLUE HDI130,Courdier fabrice,13.8,12.3,0.575,LO MU ASPH,WET,WET,SUNNY / CLOUDY,210.0,,D+1,VARIOUS,min: 16.0 max: 24.6,80,1,ABS,,41.79583333,,1.067686184,-0.602311308,0.025545278,16.0,24.6
1186,HG369500,2019R07036-01,BRK,ACCBRK,4,1,1/7/2020,1/7/2020,GPG*M SKID PAD,,PEUGEOT 3008 1.5 BLUE HDI130,Courdier fabrice,13.8,12.3,0.575,LO MU ASPH,WET,WET,SUNNY / CLOUDY,210.0,,EMPTY,VARIOUS,min: 16.0 max: 24.6,80,1,ABS,,41.79583333,,1.067686184,-0.602311308,0.025545278,16.0,24.6
1187,HG369600,2019R07036-01,BRK,ACCBRK,5,1,1/7/2020,1/7/2020,GPG*M SKID PAD,,PEUGEOT 3008 1.5 BLUE HDI130,Courdier fabrice,13.7,12.2,0.578,LO MU ASPH,WET,WET,SUNNY / CLOUDY,210.0,,D+1,VARIOUS,min: 16.0 max: 24.6,80,1,ABS,,41.76,,0.989839289,-0.602828138,0.023703048,16.0,24.6
1188,HG369600,2019R07036-01,BRK,ACCBRK,5,1,1/7/2020,1/7/2020,GPG*M SKID PAD,,PEUGEOT 3008 1.5 BLUE HDI130,Courdier fabrice,13.7,12.2,0.578,LO MU ASPH,WET,WET,SUNNY / CLOUDY,210.0,,EMPTY,VARIOUS,min: 16.0 max: 24.6,80,1,ABS,,41.76,,0.989839289,-0.602828138,0.023703048,16.0,24.6
1189,HG370600,2019R07281-00,BRK,ACCBRK,8,1,1/16/2020,1/16/2020,GPG*M SKID PAD,,Jeep Compass D.,Segues R,11.9,12.3,0.935,HI MU ASPH,,WET,Cloudy,240.0,,Driver,VARIOUS,min: 8.8 max: 14.0,80,1,ABS,,25.664,,0.105971694,-0.980911122,0.004129196,8.8,14.0
1190,HG370600,2019R07281-00,BRK,ACCBRK,8,1,1/16/2020,1/16/2020,GPG*M SKID PAD,,Jeep Compass D.,Segues R,11.9,12.3,0.935,HI MU ASPH,,WET,Cloudy,220.0,,Vehi,VARIOUS,min: 8.8 max: 14.0,80,1,ABS,,25.664,,0.105971694,-0.980911122,0.004129196,8.8,14.0
1191,HG371500,2020R00588-01,BRK,ACCBRK,1,1,2/12/2020,2/12/2020,GPG*M SKID PAD,R,PEUGEOT 3008 1.5 BLUE HDI130,Dumond A,8.2,6.6,0.769,LO MU ASPH,,WET,Sunny,240.0,,D + 1,VARIOUS,min: 7.7 max: 19.4,80,1,ABS,,40.715,,0.674392731,-0.618300455,0.016563741,7.7,19.4
1192,HG371500,2020R00588-01,BRK,ACCBRK,1,1,2/12/2020,2/12/2020,GPG*M SKID PAD,R,PEUGEOT 3008 1.5 BLUE HDI130,Dumond A,8.2,6.6,0.769,LO MU ASPH,,WET,Sunny,220.0,,VEHI,VARIOUS,min: 7.7 max: 19.4,80,1,ABS,,40.715,,0.674392731,-0.618300455,0.016563741,7.7,19.4
1193,HG371500,2020R00588-01,BRK,ACCBRK,4,1,2/12/2020,2/12/2020,GPG*M SKID PAD,R,PEUGEOT 3008 1.5 BLUE HDI130,Dumond A,11.0,10.2,0.517,LO MU ASPH,,WET,Sunny,220.0,,VEHI,VARIOUS,min: 7.7 max: 19.4,80,1,ABS,,40.68285714,0.000789454,0.448839774,-0.618788964,0.011032651,7.7,19.4
1194,HG371500,2020R00588-01,BRK,ACCBRK,4,1,2/12/2020,2/12/2020,GPG*M SKID PAD,R,PEUGEOT 3008 1.5 BLUE HDI130,Dumond A,11.0,10.2,0.517,LO MU ASPH,,WET,Sunny,240.0,,D + 1,VARIOUS,min: 7.7 max: 19.4,80,1,ABS,,40.68285714,0.000789454,0.448839774,-0.618788964,0.011032651,7.7,19.4
1195,HG371500,2020R00588-01,BRK,ACCBRK,7,1,2/12/2020,2/12/2020,GPG*M SKID PAD,R,PEUGEOT 3008 1.5 BLUE HDI130,Dumond A,12.2,13.1,0.462,LO MU ASPH,,WET,Sunny,220.0,,VEHI,VARIOUS,min: 7.7 max: 19.4,80,1,ABS,,40.21,0.011623039,0.582972678,-0.626065731,0.014498201,7.7,19.4
1196,HG371500,2020R00588-01,BRK,ACCBRK,7,1,2/12/2020,2/12/2020,GPG*M SKID PAD,R,PEUGEOT 3008 1.5 BLUE HDI130,Dumond A,12.2,13.1,0.462,LO MU ASPH,,WET,Sunny,240.0,,D + 1,VARIOUS,min: 7.7 max: 19.4,80,1,ABS,,40.21,0.011623039,0.582972678,-0.626065731,0.014498201,7.7,19.4
1197,HG384000,2020R01476-01,BRK,ACCBRK,1,1,4/27/2020,4/27/2020,GIC*L SKID PAD,C,AUDI Q7 3.0 TDI QUATTRO,Corentin,10.3,13.9,0.704,LO MU ASPH,,WET,Sunny,260.0,,Empty,VEHI,min: 2.0 max: 6.5,80,1,ABS,,39.09125,,0.532901425,-0.643983066,0.013632243,2.0,6.5
1198,HG384000,2020R01476-01,BRK,ACCBRK,3,1,4/27/2020,4/27/2020,GIC*L SKID PAD,C,AUDI Q7 3.0 TDI QUATTRO,Corentin,14.5,17.9,0.581,LO MU ASPH,,WET,Sunny,260.0,,Empty,VEHI,min: 2.0 max: 6.5,80,1,ABS,,38.05,0.026636449,0.268168391,-0.661605862,0.00704779,2.0,6.5
1199,HG384700,2020R01476-01,BRK,ACCBRK,1,1,4/27/2020,4/27/2020,GIC*L SKID PAD,C,AUDI Q7 3.0 TDI QUATTRO,Corentin,10.3,13.9,0.704,LO MU ASPH,,WET,Sunny,260.0,,Empty,VEHI,min: 2.0 max: 6.5,80,1,ABS,,39.09125,,0.532901425,-0.643983066,0.013632243,2.0,6.5
1200,HG384700,2020R01476-01,BRK,ACCBRK,3,1,4/27/2020,4/27/2020,GIC*L SKID PAD,C,AUDI Q7 3.0 TDI QUATTRO,Corentin,14.5,17.9,0.581,LO MU ASPH,,WET,Sunny,260.0,,Empty,VEHI,min: 2.0 max: 6.5,80,1,ABS,,38.05,0.026636449,0.268168391,-0.661605862,0.00704779,2.0,6.5
1201,HG388905,2020R05931-00,BRK,ACCBRK,1,2,11/26/2020,11/26/2020,GPG*M SKID PAD,C,CITROEN DS3 CROSSBACK,Deluc J,12.6,13.3,0.899,LO MU ASPH,,WET,Cloudy,220.0,,Empty,6.5J17ET32,min: 11.9 max: 19.8,80,1,ABS,,36.31857143,,0.405398099,-0.69314684,0.011162281,11.9,19.8
1202,HG388905,2020R05931-00,BRK,ACCBRK,3,2,11/26/2020,11/26/2020,GPG*M SKID PAD,C,CITROEN DS3 CROSSBACK,Deluc J,14.4,14.5,0.931,LO MU ASPH,,WET,Cloudy,220.0,,Empty,6.5J17ET32,min: 11.9 max: 19.8,80,1,ABS,,36.75857143,-0.012114976,0.365487281,-0.684849875,0.009942913,11.9,19.8
1203,HG389000,2020R00410-02,BRK,ACCBRK,5,1,2/14/2020,2/14/2020,GPG*M SKID PAD,,DACIA DUSTER,Perrault A,16.8,0.0,0.408,LO MU ASPH,,WET,Sunny,,,empty,VEHI,min: 13.1 max: 22.8,80,1,ABS,,33.96857143,,0.346959583,-0.741099845,0.010214135,13.1,22.8
1204,HG389000,2020R00410-02,BRK,ACCBRK,5,1,2/14/2020,2/14/2020,GPG*M SKID PAD,,DACIA DUSTER,Perrault A,16.8,0.0,0.408,LO MU ASPH,,WET,Sunny,,,driver,6.5J17ET50,min: 13.1 max: 22.8,80,1,ABS,,33.96857143,,0.346959583,-0.741099845,0.010214135,13.1,22.8
1205,HG389000,2020R00410-02,BRK,ACCBRK,5,1,2/14/2020,2/14/2020,GPG*M SKID PAD,,DACIA DUSTER,Perrault A,16.8,0.0,0.408,LO MU ASPH,,WET,Sunny,,258.0,driver,6.5J17ET50,min: 13.1 max: 22.8,80,1,ABS,,33.96857143,,0.346959583,-0.741099845,0.010214135,13.1,22.8
